,sentiment,sentiment:confidence,text
57,0,1.0,doesn't your people explain precautions when buying expensive laptop
58,0,1.0,justice department cites 18th century federal unlock iphones
59,0,0.6731,bored
60,0,1.0,need portfolio defend against companies just look court battles
61,0,1.0,"hard customer, must truly displeased with customer service given today badservice apple"
62,0,1.0,made clear today that customer worth measly 79!! employee gave info they will stand behind
63,0,0.7011,inspi(red) worldaidsday appsforred fight aids
64,0,0.7321,justice department cites 18th century federal unlock iphones
65,0,1.0,16gb ipad retina wifi tablet free shipping ebay cybermonday firstworldproblems
66,1,0.8214,photo love love ios8 nocrop iphone young phone screen capturescream
67,0,1.0,does force people built ios8? button doesn't work like want apple's data collection service
68,0,0.6398,then hell take this screenshot?
69,0,1.0,department cites 18th century federal unlock iphones
70,0,0.6759,justice department cites 18th century federal unlock iphones
71,0,0.5327,round open aapl stock briefly dove today analysts sure
72,0,1.0,draining battery this
73,0,1.0,your chargers suck ass! they just love break!
74,0,0.6783,justice department cites 18th century federal unlock iphones
75,0,1.0,"aapl three horsemen nasdaq apple, microsoft gilead scie"
76,0,0.6604,justice department cites 18th century federal unlock iphones
77,0,0.7556,hoping won't automatically make download bruce springsteen singing together bruce espn thatwasbad
78,0,0.4791,what joke! justice dept should prosecute killer wilson pursuit justice ferguson over!
79,0,1.0,please educate
80,0,0.7591,wish could prosecute admin violation privacy criminal search seizure
81,0,0.6676,game traders play name market liquidity darkpools stock trading algorithms aapl
82,0,1.0,aapl steve jobs emails need read
83,0,1.0,sooooo annoyed restore from back lost voice mails needed keep those thanks
84,0,0.7039,thisn yosemite update stressing macbookpro
85,0,1.0,just broke charger month your shit together
86,0,1.0,"this iphone battery isn't good claim,"
87,0,1.0,nasdaq fall fell monday! whether follow
88,0,1.0,"iphone users face change over apple google search choice monday, december)"
89,0,0.6908,please educate
90,1,0.6517,"just updated 16gb guys like shallow gf's take money, dammit look good"
91,0,1.0,it's fair think you're really mean
92,0,0.6794,whoknew isn't twitter? interestingfact passingthetime
93,0,1.0,whoknew isn't twitter? interestingfact passingthetime
94,1,0.7851,users account online sales users they dominating business sales cybermonday
95,0,1.0,hate capitalizes random words like dont wanna give emphasis some stupid word sentence self together
96,0,0.6218,i've made clear support rand paul 2016 most cases everyone pigeonholed blue? also like
97,0,0.6884,iphone ever created
98,0,1.0,fucking hate
99,1,0.6573,please have phone christmas? spreadsomejoy
100,0,0.7279,perfome
101,0,0.6734,nasdaq100 recent market exit sold aapl long gain days aapl forex trading stocks
102,0,0.6442,rumoured launching 'mega tab' because biggerisbetter
103,0,0.6635,"apple upped barclays, morgan stanley trims stake aapl"
104,0,1.0,it's like costs money just download
105,0,0.7287,"blog post final aapl putcallratios monday, december 2014"
106,0,0.7079,aapl cramer's best stock picks health care sector
107,0,1.0,phones been charging hour keeps losing percentage?? shit together
108,0,1.0,"steve jobs, clave juicio contra"
109,0,1.0,"steve jobs, clave juicio contra"
110,0,1.0,"steve jobs, clave juicio contra"
111,0,0.6624,laptop completely dead blacked days finally opened inside fixed hire
112,0,1.0,couldn't even turkey tday they just don't care appleemojissuck
113,0,1.0,"steve jobs, clave juicio contra"
114,0,1.0,phones been charging hour keeps losing percentage?? shit together
115,0,0.7053,"apple (nasdaq aapl) participates world aids campaign apple, aapl, campaign"
116,1,1.0,well played
117,1,1.0,thank
118,0,0.6894,
119,1,1.0,thank
120,0,1.0,long does really take phone ship
121,0,1.0,ipod lawsuit will reveal unseen steve jobs video
122,0,1.0,ipod lawsuit will reveal unseen steve jobs video
123,0,1.0,dying
124,0,1.0,"iphone5, health longer gathering data sigh"
125,0,0.6806,"trade aapl free nightly updates posted here twitter, visit trade aapl free website here"
126,0,0.6864,thanks changing another fuck into duck thanks
127,0,0.5339,news apple tumbles much percent unusual trading chuck mikolajczak york (reuters)
128,0,1.0,cause fuck
129,0,1.0,brass band store broadway winterseve
130,0,1.0,phone should have gb's
131,0,1.0,fuck breaking music
132,0,1.0,brass band store broadway winterseve
133,0,1.0,"have apple, ipad sales peaked? aapl"
134,0,1.0,brass band store broadway winterseve
135,0,1.0,barclay's apple analyst joins crowd increases price target forbes aapl
136,0,1.0,just need come with charger cord that keep charge don't fall apart
137,0,0.681,should able forward voicemail isn't that thing?
138,0,1.0,speak humanity want chose what contacts added contacts book from facebook thanks
139,0,1.0,everything about
140,0,1.0,disgrace
141,0,0.5098,want pictures back
142,0,1.0,phone acid right this
143,0,1.0,power cord problem under warranty said would fine isn't won't replace
144,0,1.0,this normal abuse! wrapped exactly instructed this fire hazard should replace defective
145,1,0.718,"btw, love your products they rock! your power cords junk seriously need this!"
146,0,1.0,brass band store broadway winterseve
147,0,0.6894,justice department cites 18th century federal unlock iphones
148,0,1.0,your shitty imessage
149,1,0.6544,aapl apple's share repurchases have benefited shareholders billion
150,1,0.6373,"even with apple watch delayed, raising aapl price target aapl alex_cho"
151,1,1.0,love between earned miles during blackfriday sale! freemoney centsability cybermonday
152,0,1.0,this auto correct shit gotta stop!!! changing shit right when send
153,0,1.0,first logo designed founder ronald wayne drawing isaac newton reading book under apple tree
154,0,1.0,those pick slack fuck boys
155,1,0.6635,maybe good product never better then macbook it's fact
156,0,1.0,fucking faggots
157,0,0.6635,course that's their mother fucking
158,0,0.6816,apple store logos turn world aids aapl
159,0,1.0,fuck kinda shit print fucking ketosis
160,0,1.0,game bitches really trying tonight! gams night gawd
161,0,1.0,apple cook comes
162,0,1.0,need fucking shit together while youtube
163,0,0.7206,can't version alone version actually like star wars stupid lame starwars
164,0,0.6518,perhaps less malleable metal shell iphone6splus noticedsomecurve
165,0,1.0,macbook retina first startup macbook macbookpro startup hipster
166,0,1.0,macbook 13in unboxing macbook macbookpro startup hipster unboxing
167,0,1.0,ipad mini unboxing! ipadmini ipad macbook macbookpro startup hipster unboxing
168,0,0.6491,ipad mini first time startup! ipadmini ipad macbook macbookpro startup hipster unbox
169,0,0.6765,where ipod doe?
170,0,0.6827,drop audio only rendition requirement apps? users hate other stores want other platforms don't know what
171,0,0.8539,"none happy with (yosemite), file vault boot camp right thankful"
172,0,1.0,"iphone6s emerge spring 2015 with apple watch? tuesday, december)"
173,0,1.0,apps ipodtouch5thgen
174,0,0.6882,demand there tapatio emoji
175,0,1.0,apps ipodtouch5thgen
176,0,0.679,aapl call america free until christmas tesco cuts costs relaunch
177,0,0.7284,second time aapl pages edits 700bn? amateurs fail iwantjobsback
178,0,1.0,feel lost with phone iphone chargers horrendous! brokenchargerprobs
179,0,1.0,aapl apple heads trial over digital music claims
180,0,0.7248,excellent news houseofcards wonder yosemite wifi will talking then it's been wks!!
181,0,1.0,laptop burning legs what have about this
182,1,0.667,great news! hope your wifi gets sorted though!
183,0,1.0,secret life from steve jobs seconds some motivation from late
184,0,1.0,best stevejobs apple aapl tech30
185,0,0.6826,this makes feel have rood
186,0,1.0,hate these earphones world they think good idea
187,0,1.0,need reinstall apple ipad
188,1,1.0,salut you! photo
189,0,1.0,macbook retina first startup macbook macbookpro startup hipster
190,0,1.0,macbook 13in unboxing macbook macbookpro startup hipster unboxing
191,0,0.665,ipad mini unboxing! ipadmini ipad macbook macbookpro startup hipster unboxing
192,0,0.667,ipad mini first time startup! ipadmini ipad macbook macbookpro startup hipster unbox
193,0,0.7651,"smartphone tablet become home automation hub, wireless protocol beat wifi bluetooth homekit flic"
194,0,1.0,options outlook amid heavy week economic events aapl goog googl tsla premarket markets
195,0,0.6758,dying fast phone? fuck
196,0,0.6681,this
197,0,1.0,"it's been said 'don't talk about politics', can't take anymr i'll still post about others need change"
198,0,0.7016,does anybody knows macbook retina keyboard? thank much! macbook apple keyboard
199,0,0.6538,best guest behind apple's rapid stock price decline yesterday algorithmic trading 40bn wiped automatic computer trades aapl
200,0,0.9144,awarded patent augmented reality devices transparent displays
201,0,1.0,apple iphone iphone4s iphone4problems someone fucking help someone works apple fucking help cunts
202,0,1.0,synching notes icloud pages unusable used easier
203,0,1.0,nasdaq100 recent market exit sold aapl long gain days aapl forex trading stocks
204,0,1.0,fuck just change stores
205,0,1.0,about write huge fuck letting make reservations laptop fixed
206,0,0.6631,apple tumbles much percent unusual trading aapl aapl
207,0,1.0,"yes, that exact issue took free battery replacement trackpad ended being fine"
208,0,0.532,says 'machines' caused drop aapl
209,0,0.6387,yeah trackpad fine working now! damage screw holdings battery
210,0,1.0,"video shows size inch 'ipad plus' mockup next iphones, ipads, macbook aapl"
211,0,1.0,"steve jobs, clave juicio contra"
212,0,1.0,fail since updating ipad there that does delete videos free memory forcing
213,0,0.6635,"apple opening retail store toledo, ohio saturday, december blog aapl"
214,0,1.0,morgan stanley negative apple tech sector aapl aapl
215,0,0.4806,google beating apple this sector aapl aapl
216,0,0.6678,news evidence late steve jobs used music trial aapl
217,0,1.0,alarm ringer just refused work fuck
218,0,1.0,more race payments? what's future payments start ups?
219,0,0.6658,"lost because it's deer season, there deer emoji come suppose show love huntin' friendz?"
220,0,1.0,utilizing ibeacons engagement send messages passbook personalization
221,0,1.0,technology news trial feature unseen late stevejobs video deposition
222,0,0.6672,figured memory issue ipad wasnt hidden folder that stores images
223,0,1.0,will room 1215 today presenting experience with herewegolakers
224,0,1.0,aapl pacific crest's apple analyst reiterates selling some shares
225,0,0.7364,pacific crest's apple analyst reiterates selling some shares aapl aapl
226,0,0.7119,applelawsuit depends exactly what hold back beat their competition there fair game competitive tactics unfair
227,0,0.7201,aapl audio auto sales apple lawsuit heads court
228,0,0.6861,apple's raised canaccord genuity rating aapl aapl
229,0,0.7089,apple's raised canaccord genuity rating aapl aapl
230,0,1.0,"iphone6 many issues, earphone plug working better this shit free"
231,0,1.0,cheap chromebooks teach apple lesson price matters aapl aapl
232,0,0.7253,trying launch info ahead time from telco marketing teams nightmare thanks ecomchat
233,0,1.0,dear replace phone battery sucks
234,0,1.0,apple heads trial over itunes update aapl
235,0,1.0,from beyond grave! jurors hear star witness trial steve jobs
236,0,0.7263,heads trial over digital music claims appl tech
237,1,1.0,"fantastic service today store touchwood thanks all, zach sorting battery problem quickly efficiently"
238,0,0.734,here's apple dropped aapl aapl
239,0,1.0,apple intraday comments opening premium users aapl stockaction trading stocks
240,0,1.0,always like that with products from apple
241,0,1.0,dear replace phone battery sucks
242,0,1.0,"thats annoying, they never stuff right first time"
243,0,0.6774,what going with aapl
244,0,0.6515,apple lower analyst sees risk sharp production cuts iphone plus aapl aapl
245,0,0.6613,apple lower analyst sees risk sharp production cuts iphone plus aapl aapl
246,0,0.6758,dear replace phone battery sucks
247,1,0.7026,thestreet apple gets price target boost back strong iphone demand aapl
248,0,1.0,aapl apple clear name ebooks drama? eddy says he'd again take better notes
249,1,0.6825,with dual core technology
250,0,1.0,pacific crest's apple analyst reiterates selling some shares forbes aapl
251,0,1.0,every student deserves chance connected txed
252,0,1.0,surprised there isn't more talk about what looked like flash crash aapl yesterday biggest range years largely ignored
253,0,0.6906,surprised there isn't more talk about what looked like flash crash aapl yesterday biggest range years largely ignored
254,0,0.7639,lack equal access technology places students minorities disadvantage education great equalizer txed
255,0,1.0,apple's raised canaccord genuity rating aapl aapl
256,0,1.0,apple fibonacci technicals levels intraday opening aapl aapl
257,0,0.6635,"realmac software launches 'typed', markdown writing featuring minimal interface blog aapl"
258,0,1.0,product line competes with itself iphone6 ipad needs ipad longer!?
259,0,0.7315,aapl 'fast money' recap energy companies flow with prices
260,1,1.0,enjoying introductions connected launch event some amazing edtech leaders room txed
261,1,0.6669,phone iphone6plus
262,0,1.0,more applewatch details exposed aapl
263,0,1.0,government attempts 'hail mary' apple unlock iphones aapl
264,0,1.0,apple fibonacci technicals levels intraday update aapl aapl
265,0,0.6669,here's apple won't trillion dollar company according billionaire breyer aapl
266,0,0.6643,chromebooks overtake apple's ipads education market chromebooks ipad
267,0,0.6912,apple doomed aapl dropped currently priced aapl
268,0,0.6803,imagine world without cracked iphone screens! patents drop protection mechanism
269,0,1.0,healthkit first movers featured mobiquity's also panelist
270,0,1.0,aapl remove apple credit cards remotely from
271,0,0.6676,wants stop taking vertical photos
272,0,0.7244,best steve jobs emails apple stevejobs aapl
273,0,1.0,apple reportedly planning inch ipad that will like microsoft's surface aapl aapl
274,0,0.6579,"apple patents iphone drop protection mechanism that changes device tuesday, december)"
275,1,1.0,props review team reviewing metadata rejected resubmission just hours! thanks!
276,0,0.7263,apple bears paid contracts double amid drop news aapl applebears appleoptions apple iphone news
277,0,1.0,yall some hoes
278,1,1.0,what's core ios7? excellent updates your phone's mobilesecurity mcafee
279,1,1.0,thanks 'keep newer' when transferring files from local hard drive server
280,0,1.0,does store georgetown sell refurb'd ipads? just new? refurbs only available online?
281,0,1.0,apple fibonacci technicals levels intraday update aapl aapl
282,0,0.7215,apple flash crash what need know aapl
283,0,0.7253,estimates trillion market apple still fetched fundamental algorithmic analysis aapl
284,0,0.6553,"believe they only online, able 'ship store'"
285,0,1.0,notice that apps 'get' instead 'free'? this change alleged misleading labeling
286,0,0.6932,apple intraday comments updated range premium users aapl stockaction trading stocks
287,0,0.483,"aapl market passes billion, tablet sales slump more"
288,0,0.4563,thanks also interestingly isn't apple
289,0,1.0,very confusing wonder means going bill later download please free it's free
290,0,1.0,elgato launches thunderbolt dock with resolution support blog aapl
291,0,0.6613,"paper watch coolest piece wearable tech yet, sorry"
292,0,0.6203,finally gave return macbook model retina 'out delivery' they'll probably announce next month
293,0,1.0,apple intraday comments updated range premium users aapl stockaction trading stocks
294,0,0.729,apple loses ground google education tablet sales aapl aapl
295,0,0.8543,apple computer (aapl) rated with price target canaccord genuity aapl
296,0,0.6758,what need been really slow lately
297,0,1.0,apple fibonacci technicals levels intraday update aapl aapl
298,1,0.6797,enjoying introductions connected launch event some amazing edtech leaders room txed
299,0,0.347,aapl aapl green right hope stays
300,0,0.6894,customer service successes fails examples custserv
301,0,1.0,sprint offering halve wireless bills customers switching from verizon blog aapl
302,0,0.7408,affluent apple users spend android users what numbers really mean? aapl aapl
303,0,1.0,"meaning soviet jokes 'whatever produce, turns tank' russia seeks kalashnikov rival"
304,0,0.6894,your stupid shit upgrade ruined damned
305,0,1.0,pieces shit damnit man!
306,0,0.7044,come can't make genius appointments online anymore?
307,0,1.0,have apple's ipad sales peaked? aapl
308,0,0.6879,what happened? pieces shit damnit man!
309,0,1.0,apple gets price target boost back strong iphone demand aapl aapl
310,0,0.7236,aapl reasons apple could have fallen yesterday
311,0,1.0,compuserve internet
312,0,1.0,"apple lower following cautious crest, deutsche notes aapl crus"
313,1,1.0,awesome! invented peanut butter sandwich technology phones
314,0,1.0,apple fibonacci technicals levels intraday update aapl aapl
315,0,1.0,fuck still buying
316,0,0.6737,"aapl 'buy' reiterated, target raised canaccord genuity aapl brief explanation here aapl"
317,0,0.7119,aapl canaccord apple price target share
318,0,0.6635,"economic temperature spiking, terrorist attack? either way, you're aapl"
319,0,1.0,caused much pain today
320,0,0.6681,"apple still struggles meet iphone6 demand, canaccord raises price tuesday, december)"
321,0,1.0,cool cool just bait switched into paying upgrade server after 'free' upgd
322,0,1.0,steve wozniak star upcoming reality show focusing futuristic tech blog aapl
323,0,1.0,iphone shortages helping radioshack consumer sales plummet aapl
324,0,0.6584,stevejobs will crucial witness against apple ipod antitrust suit aapl
325,1,0.6754,"thestreet android phones dominate through 2018, while phone revenue will dazzle goog aapl"
326,0,1.0,thestreet apple gets price target boost back strong iphone demand aapl
327,0,1.0,thestreet apple gets price target boost back strong iphone demand aapl
328,0,0.5234,apple should fight court case over stevejobs' decision forbes aapl
329,0,0.6606,"computers susceptible adware, don't believe that computers immune! this post from apple"
330,0,1.0,reasons apple could have fallen yesterday forbes aapl
331,0,1.0,yall please send fuckin phone
332,0,0.6661,anyone know this? xcode simulators tried complete reinstall
333,0,0.6551,apple bears paid contracts double amid drop aapl aapl
334,0,0.4925,early adoption issues?? applepay blackfriday tokenization
335,0,0.6749,cnbctv apple fighting monopoly allegations aapl
336,0,0.4712,cnbctv iphone growth peaked? aapl
337,0,1.0,cnbctv analyst worries about iphone growth aapl
338,1,0.7401,cnbctv cramer applewatch dazzler aapl
339,0,0.5327,cnbctv cramer trading apple suckers game aapl
340,0,1.0,cnbctv apple heads trial aapl
341,0,0.6932,apple bears paid contracts double amid drop aapl aapl
342,0,1.0,"seen bunch people tweeting about search twitter, then forums don't remember solution"
343,0,0.5088,"programmatic advertising sign times, doesn't match company's innovative"
344,1,0.6595,this huge! peering directly with others getting ping response!
345,0,1.0,make cards memory iphone because know won't allow cards until profit from
346,1,1.0,"woah! cashback from store cybermonday deals ipads, iphones, more"
347,0,0.6513,"computers susceptible adware, don't believe that computers immune! this post from"
348,0,1.0,apple intraday comments range premium users aapl stockaction trading stocks
349,0,0.723,reasons apple could have fallen yesterday aapl aapl
350,0,1.0,"apple patents iphone drop protection mechanism that changes device tuesday, december)"
351,0,1.0,google chromecast leapfrogs apple aging media player loses ground rivals aapl
352,0,1.0,apple macbook tech
353,0,1.0,phone keeps fucking freezing
354,0,1.0,apple macbook tech
355,0,1.0,apple macbook tech
356,0,0.7364,gorgeous lighting grandcentralstation
357,0,0.6758,when can't hear people through your headphones thank headphones
358,0,0.6822,patent iphone's doing tricks avoid breaking technology apple patent tech
359,0,1.0,i've been considering suing putting that shitty album phone
360,0,0.655,patents drop proof mechanism breaks laws physics with anti gravity getagoodcase
361,0,1.0,believe bought fire you've lost another customer
362,0,0.6669,apple goes trial over billion digital music lawsuit california aapl aapl
363,0,1.0,phone keeps fucking freezing
364,0,1.0,worth reading design comparison apps
365,0,0.6474,damn wish could iphone could imessage don't have enough money damn damm damn
366,0,1.0,morgan stanley sells apple aapl stock still aapl
367,0,1.0,late apple founder steve jobs 'testifies' itunes case aapl
368,1,0.676,"ikr! dont need to,bc i'll hopefully christmas grades"
369,0,0.4745,damn wish could iphone could imessage don't have enough money damn damm damn
370,0,0.6809,"aapl android phones dominate through 2018, while phone revenue will"
371,0,1.0,holiday weekend android came top?
372,0,1.0,need sort this llshit with safari yosemite! 'safari find server' apple macbook yosemiteproblems yosemite
373,0,1.0,"apple canaccord, merrill targets iphone cycle mostly priced into stock, says crest aapl aapl"
374,0,0.6387,faces lawsuit over ipod allegations legal tech lawsuit
375,0,0.6861,aapl here's apple won't trillion dollar company according billi
376,0,0.6739,gets patent prevent cracked screens rotating iphones they fall apple
377,0,1.0,happy with backwards compatibility should given other apps aperture?? money grab?
378,0,1.0,apple macbook tech
379,0,1.0,isn't twitter?
380,0,1.0,higher link that link back your email address
381,0,0.51,love applecare hold music awful would prefer hear tips using apple gear better hold time
382,0,1.0,macbook retina first startup macbook macbookpro startup hipster
383,0,1.0,macbook 13in unboxing macbook macbookpro startup hipster unboxing
384,0,1.0,ipad mini unboxing! ipadmini ipad macbook macbookpro startup hipster unboxing
385,0,0.6806,ipad mini first time startup! ipadmini ipad macbook macbookpro startup hipster unbox
386,0,0.591,apple's iphone face patent dispute from chinese vendor with look alike device aapl aapl
387,0,0.6972,eddy speaks about ibooks price fixing case feel have fight truth' aapl
388,0,0.7079,russia could apple iphone lawmakers report aapl
389,0,1.0,"hard customer, must truly displeased with customer service given yesterday badservice apple"
390,0,1.0,would like reach resolve issue
391,0,0.6619,aapl analyst ratings last days positive median target upside) aapl
392,0,1.0,apple macbook tech
393,0,1.0,this deal still available?
394,1,1.0,cnbctv apple arguably most innovative company world aapl
395,0,0.6595,"craig! yes, this offer still available please visit online purchase"
396,0,0.6172,cnbctv apple's antitrust trial aapl
397,0,0.7039,aapl think will valued 145s next year death steve jobs damaged samsung more than apple
398,0,1.0,nice iphone there pity something were happen
399,0,1.0,aapl apple heads trial with steve jobs witness
400,0,1.0,bloombergtv stevejobs testimony play role ipod trial aapl
401,0,0.6699,deutsche bank sees risk apple iphone's 'sharp production cuts' aapl aapl
402,0,1.0,"verr _cktes _cht iphone6s apple watch tuesday, december)"
403,0,0.6544,chromecast leapfrogs aging media player loses ground rivals
404,0,0.6851,gets patent prevent cracked screens rotating iphones they fall
405,0,0.6628,kill verizon soooo don't have weird apps passcodes synchronized locations everything
406,0,0.7399,aapl think will valued 145s next year death steve jobs damaged samsung more than apple
407,0,1.0,strikes somewhat stupid that have sent brand iphone without latest software can't restore stuff
408,0,1.0,really needs something about these bullshit cords
409,0,0.6759,back from dead ipods drag apple court aapl stevejobs
410,0,1.0,apple supplier skyworks still buy? swks aapl brcm qcom
411,1,0.6722,gorgeous iphone apps with surprising designs amazing visuals aapl
412,0,0.6538,legendary designer gives young designers simple rules follow
413,0,1.0,iphone which been sitting quietly year protective case just split open back
414,0,0.4855,silver merchants prefer bitcoin applepay payments retail banking
415,0,1.0,perfect time lock screen install software update without asking
416,0,1.0,"hard customer, truly displeased with customer service given yesterday badservice"
417,0,0.7411,chinese phone vendor claims apple's iphone looks similar aapl aapl
418,1,1.0,agreed have give props battery life iphones it's good tl_chat
419,0,1.0,winter scary stay safe winnipeg with free
420,0,1.0,apple fibonacci technicals levels intraday update aapl aapl
421,0,1.0,apple fibonacci technicals levels intraday update aapl aapl
422,0,1.0,hate microphone shit imessage please take fuck
423,0,0.5195,sounds like need upgrade iphone although spacious purse holds many items! tl_chat
424,0,1.0,apple patents method make iphones fall like aapl
425,0,0.6578,aapl apple should fight court case over steve jobs' decision
426,0,1.0,apple dock billion antitrust claim casts stevejobs conspirator aapl
427,0,0.6838,apple bears paid contracts double amid drop aapl
428,1,0.7119,"hell yeah steve, stick man!"
429,0,1.0,dear i've been apple user over years can't remember like this current safari fixit!
430,0,1.0,"dear kindly fuck with your format regards, music listeners everywhere"
431,0,0.339,were like would have been released already playing catch they have time assure it's perfect
432,0,0.6578,speaking wearables! chargehr iphone want latkes place tl_chat
433,0,0.6752,sounds like we'd travel well together then! tl_chat
434,1,1.0,chipping here inspired iphone takes incredible photos! sharp!
435,1,0.665,pleased meet fellow tweep connected event! fellow tbcoach practitioner great meet txed
436,0,0.6851,buddies level store startups nice
437,0,1.0,"apple watch track february 2015 release, testing underway rumour aapl aapl"
438,0,1.0,think reasons your fuck
439,0,1.0,"apple watch track february 2015 release, testing underway rumour aapl aapl"
440,0,1.0,buddies level store startups nice
441,0,0.6823,unfollow unlike tuesday? many unlike unfollow? socialcleanuptuesday maybe antidrama
442,0,1.0,agree 'get' does explicitly imply free
443,0,1.0,also dont even live kirkby
444,1,0.6672,"innovation sector largest multiplier effect when comes jobs! employs 13,000, while creating 70,000 indirect jobs!"
445,0,1.0,morgan stanley sells apple aapl stock still aapl aapl
446,0,1.0,there's movie itunes match icloud that can't remove actually it's trailer very annoying
447,1,0.7026,silver finish applewatch places second before it's even aapl
448,0,1.0,siri that bull shit telling it's gonna rain shit fuck
449,1,0.4876,give never have suffer through windows personal work
450,0,0.6781,nasdaq100 recent market exit sold aapl long gain days aapl forex trading stocks
451,0,0.6544,unseats classrooms chromebooks beat ipads
452,1,0.7903,"shopping have paid, receive your goods flight) better custserv"
453,0,0.6751,waiting ipod bubblews apple
454,0,1.0,changing words that aren't even misspelled like where they really that at???? would really like know
455,0,0.6628,russia could apple iphone lawmakers report aapl
456,0,0.6827,there more that goes into building brand don't becom just picking good name
457,0,0.6538,apple short interest down significantly november aapl
458,0,0.6613,don't worry crash anything even stop
459,0,1.0,macmail yosemite really giving hard time there alternative email program there? yosemiteproblems
460,0,0.6458,russian lawmaker thinks iphone stealing state secrets aapl aapl
461,0,1.0,apple fibonacci technicals levels last intraday update aapl aapl
462,0,1.0,apple fibonacci technicals levels last intraday update aapl aapl
463,0,1.0,autocorrect changes actual words other words when spell actual word wrong doesn't correct fuck yall niggas
464,1,1.0,macbook love today
465,1,1.0,movie 'chef' original well executed reminded days steve jobs dreaming then created iphone
466,0,1.0,"apple patents iphone drop protection mechanism that changes device tuesday, december)"
467,0,1.0,apple intraday comments last update premium users aapl stockaction trading stocks
468,0,1.0,what happened apple inc? aapl apple
469,0,1.0,what hell this 5gbs 'other' data phone
470,1,1.0,"tweet about nandos phone puts caps, like iphone six, knows favourite restaurant good phone"
471,0,1.0,apple trading daily profit weekly profits aapl stockaction trading stocks
472,0,1.0,wells fargo continues promoting apple with advertisement aapl
473,0,1.0,let's forget that press effects stock defend against ipod antitrust suit
474,0,0.6739,foxbustv time start buying apple? aapl
475,0,1.0,heck isn't there taco emoji?
476,0,0.5193,aapl steve jobs emails featured apple ipod antitrust trial
477,0,1.0,"trade aapl free nightly updates posted here twitter, visit trade aapl free website here"
478,0,0.6552,"named 'most desired brand' during blackfriday cybermonday, beating tech rival"
479,0,1.0,strategic steps towards full time trading stocks futures forex trader baba aapl gpro esignal
480,0,0.6543,results our' mobility pilothouse program which most loyal customers
481,0,0.6734,"imho, going lower, reason bottom here also, aapl going boldstatement"
